목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
부산면관/대흥점,127.425984238845,36.3233730409943,대전광역시 중구,1.0,월요일
부산시민공원,129.057403818219,35.1683562959139,부산광역시 부산진구,1.0,월요일
부여관광,126.9010643027687,36.2691384733447,충청남도 부여군,2.0,월요일
부흥치킨,127.160057265766,36.7946027583163,충청남도 천안시 동남구,1.0,월요일
북어찜전문점,127.281458611702,36.4636444616332,세종특별자치시,1.0,월요일
북촌35제빵소,127.244053991711,36.3598251158635,반포면,2.0,월요일
블랜드미,126.93442037495014,35.971875675458406,전라북도 익산시,1.0,월요일
비엘텍코리아,126.899380692608,37.5143937350287,서울특별시 영등포구,1.0,월요일
빈스코티지,127.233051388808,36.2869617113601,충청남도 계룡시,1.0,월요일
빽다방/세종다온주유소점,127.244262506632,36.5204866606624,세종특별자치시,2.0,월요일
빽다방/천안청당점,127.152943580426,36.7827606720346,충청남도 천안시 동남구,1.0,월요일
사계절캠핑장,128.069774849901,37.2342747213979,강원특별자치도 원주시,1.0,월요일
사곡양조원,127.025822151927,36.5012799410804,사곡면,15.0,월요일
사비향,126.913043589199,36.2730012822135,충청남도 부여군,1.0,월요일
사유지,126.83577799040236,36.68794494594983,충청남도 예산군,1.0,월요일
산업연구원,127.3049855944764,36.49440174863071,세종특별자치시,1.0,월요일
삼경안전유리,127.46671695683683,36.908338574331225,충청북도 진천군,1.0,월요일
삼대째손두부,127.131924081012,36.4709506837821,신관동,7.0,월요일
삼백집/세종청사점,127.257133733372,36.5084958958414,세종특별자치시,1.0,월요일
삼보어죽/본점,127.14098512073582,36.81904880371388,충청남도 천안시 서북구,1.0,월요일
삼산회관/천안신불당점,127.109115722623,36.8162194922003,충청남도 천안시 서북구,1.0,월요일
삼성스토어/공주신관점,127.143728552277,36.47467255032,월송동,2.0,월요일
삼성전자서비스/세종휴대폰센터,127.27542453175109,36.47104264496874,세종특별자치시,2.0,월요일
삼정풋살파크,127.341864413783,36.3638447379797,대전광역시 유성구,1.0,월요일
삼팔다방,129.339694571444,36.1964854010669,경상북도 포항시 북구,1.0,월요일
상상무인텔,127.25165577490336,36.36747524062692,반포면,4.0,월요일
새만금방조제,126.516681385943,35.8950832269423,nan nan,1.0,월요일
새우리한방병원,126.87057933926798,35.18448736466479,광주광역시 북구,1.0,월요일
샤브쌈주머니/세종아름점,127.242652499432,36.5126030521398,세종특별자치시,1.0,월요일
샤브쌈주머니/오정점,127.414882886488,36.3581415812903,대전광역시 대덕구,1.0,월요일
샵17커피,127.141450957395,36.4768945057687,신관동,2.0,월요일
서울북어,127.41381402876644,36.33743630335789,대전광역시 중구,1.0,월요일
서울척병원,127.02928751235083,37.60877271849653,서울특별시 성북구,1.0,월요일
서정리전통시장,127.055077225074,37.0578422276549,경기도 평택시,1.0,월요일
석장리계절별꽃단지,127.191696765157,36.4456761379219,월송동,2.0,월요일
성심당/대전역점,127.43412420320358,36.332261797775686,대전광역시 동구,1.0,월요일
세븐일레븐/부여리조트점,126.900730840861,36.3039746038541,충청남도 부여군,1.0,월요일
세안느뷰티,127.445282799022,36.3590108309984,대전광역시 대덕구,1.0,월요일
세종다온동물병원,127.299852225485,36.4853121813655,세종특별자치시,2.0,월요일
세종마치,127.27155136134628,36.50419427926775,세종특별자치시,1.0,월요일
세종멘토공인중개사사무소,127.24871118645444,36.48718789328876,세종특별자치시,1.0,월요일
세종중앙공원,127.27171654494391,36.49172911879095,세종특별자치시,5.0,월요일
세종철물건재센터,127.065014937555,36.360383387316,이인면,1.0,월요일
세종충남대학교병원,127.25811510187884,36.519632033403575,세종특별자치시,6.0,월요일
속초그바람에/천안직영점,127.171361619097,36.8123091619788,충청남도 천안시 동남구,1.0,월요일
솔브레인홀딩스/공주공장,127.077679254248,36.4322325630065,금학동,1.0,월요일
송악저수지낚시터,126.98975544100068,36.72152471446253,충청남도 아산시,1.0,월요일
송정스크린골프,127.25778770591567,37.41904298865224,경기도 광주시,3.0,월요일
수리치골성지,126.896028011974,36.519277144012,신풍면,1.0,월요일
수원컨벤션센터,127.05951347886264,37.28582349532365,경기도 수원시 영통구,1.0,월요일
수원화성박물관,127.019025489213,37.282717530014,경기도 수원시 팔달구,1.0,월요일
수정재,127.371019929065,36.3296933132258,대전광역시 서구,1.0,월요일
수호두파이,126.969357727118,37.5209342576638,서울특별시 용산구,1.0,월요일
순돈/천안불당점,127.10548014801,36.8097996576573,충청남도 천안시 서북구,1.0,월요일
숭덕전,127.112564768132,36.462590413658,웅진동,2.0,월요일
숭선군묘,127.070377429994,36.4110011727529,이인면,1.0,월요일
슈슈앤크라/세종점,127.24103075819316,36.51162948887707,세종특별자치시,1.0,월요일
스마트주차장,126.915978559023,35.151505211507,광주광역시 동구,1.0,월요일
스시레스토,127.3013687619436,36.48558411478913,세종특별자치시,1.0,월요일
스위치오프,127.124352968093,36.4547557242471,중학동,1.0,월요일
스타벅스/공주동학사DT점,127.25355311583138,36.36338032238289,반포면,34.0,월요일
스타벅스/논산중앙점,127.089901420383,36.2012457441743,충청남도 논산시,1.0,월요일
스타벅스/당진시곡DT점,126.6837198946191,36.90268074432952,충청남도 당진시,1.0,월요일
