목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
육군훈련소,127.09935375183731,36.1156882570315,충청남도 논산시,1.0,월요일
은마네식탁,127.13927450483916,36.47356454008306,신관동,4.0,월요일
응봉보건지소,126.76132128147414,36.65829346105844,충청남도 예산군,2.0,월요일
이강근마취통증의학과의원,127.46049054849584,36.31786956779146,대전광역시 동구,1.0,월요일
이디야커피/공주월송동점,127.152922167496,36.475866912253,월송동,4.0,월요일
이마트/서수원점,126.96995404267204,37.28290176089569,경기도 수원시 권선구,1.0,월요일
이마트24/공주계룡점,127.1425481572,36.3600168528851,계룡면,1.0,월요일
이태훈세무회계사무소,127.134264432022,36.4722005160945,신관동,1.0,월요일
인천국제공항/제1여객터미널,126.452610735176,37.449982998931,인천광역시 중구,1.0,월요일
임대장/세종나성점,127.257861577584,36.4896493560182,세종특별자치시,1.0,월요일
임천보건지소,126.893892935534,36.1867411134458,충청남도 부여군,1.0,월요일
장가네간장게장,127.39795235660824,35.415601718838474,전라북도 남원시,1.0,월요일
장가네밤짜장,127.251191903701,36.39793192883,반포면,1.0,월요일
장내과의원,127.1241391602478,36.459922320423416,웅진동,1.0,월요일
전원일기,127.15865183367303,36.48125608754988,월송동,1.0,월요일
정부세종청사BRT환승센터,127.259523641327,36.5021141495528,세종특별자치시,1.0,월요일
정부세종청사체육관,127.26366337812335,36.50729752628764,세종특별자치시,8.0,월요일
정안글램핑,127.12348625071849,36.61071912483765,정안면,2.0,월요일
정화환경산업/배방레미콘사업소,127.04811306416048,36.732141483748514,충청남도 아산시,4.0,월요일
제일연합내과의원,127.2512291502934,36.48692849194045,세종특별자치시,2.0,월요일
조마루감자탕/월평점,127.364112336179,36.3559784466536,대전광역시 서구,1.0,월요일
중동오뎅집,127.123647208597,36.4520639009663,중학동,8.0,월요일
중앙분식,127.1227101559104,36.45535039848959,중학동,6.0,월요일
중앙서림,127.13697915669,36.47428366639,신관동,1.0,월요일
중장리농촌체험휴양마을,127.1651013879768,36.368594836556525,계룡면,3.0,월요일
중촌시민공원,127.403734174532,36.3386098663785,대전광역시 중구,1.0,월요일
진짜무쇠삼겹/공주점,127.136645871163,36.47225611796,신관동,7.0,월요일
진토랑,127.121289152882,36.4536783803932,중학동,1.0,월요일
창대섬유,127.22405124458464,37.96025733901872,경기도 포천시,1.0,월요일
천안스노우의원,127.108718862666,36.8153475812604,충청남도 천안시 서북구,3.0,월요일
청양어죽,127.139340025785,36.4778388301588,신관동,1.0,월요일
청운식당/[중식],127.13935702413136,36.499069237309484,의당면,5.0,월요일
청주한국병원,127.49658015029148,36.61943743061613,충청북도 청주시 상당구,1.0,월요일
청풍식당,127.134784928472,36.471950586402,신관동,1.0,월요일
충남남부아동보호전문기관,127.09422983381,36.2019129098603,충청남도 논산시,1.0,월요일
충청남도교통연수원,127.147089240208,36.488504325325,월송동,2.0,월요일
충청남도서산의료원,126.465168683897,36.7755363883593,충청남도 서산시,1.0,월요일
카페유월,127.198418403066,36.444148573741,월송동,3.0,월요일
코웨이/유구공장,126.967326917664,36.5523015553327,유구읍,3.0,월요일
코웨이/인천공장,126.68930403729674,37.40235329845802,인천광역시 남동구,1.0,월요일
크린토피아코인워시/공주교대점,127.1203147,36.4429197,금학동,2.0,월요일
클레어스,127.14231992258664,36.36216669203495,계룡면,2.0,월요일
타이타닉 모텔,127.148395016698,36.4508419622512,옥룡동,1.0,월요일
탕정보건지소,127.06099984408996,36.79839387695645,충청남도 아산시,1.0,월요일
태평시장,127.39763448760478,36.32542987351712,대전광역시 중구,1.0,월요일
투썸플레이스/공주월송점,127.1507508219661,36.47659651973081,월송동,6.0,월요일
투썸플레이스/대전신성점,127.3536811721451,36.38558716658385,대전광역시 유성구,1.0,월요일
투썸플레이스/대전장대점,127.33503708586753,36.3598412345148,대전광역시 유성구,2.0,월요일
편안한허니연세정형외과의원,127.1294290641066,36.79802911474854,충청남도 천안시 서북구,1.0,월요일
프랭크버거/공주신관점,127.137923537669,36.47197837932,신관동,3.0,월요일
